[2024-06-21 17:25:46] CPU: 0.00%, DB: 83.00(83.00%), Memory: 1632.4MB(20.47%)
[2024-06-21 17:25:47] CPU: 1.00%, DB: 86.00(86.00%), Memory: 1633.9MB(20.49%)
[2024-06-21 17:25:48] CPU: 1.06%, DB: 77.00(77.00%), Memory: 1633.6MB(20.49%)
[2024-06-21 17:25:49] CPU: 0.81%, DB: 15.00(15.00%), Memory: 1635.1MB(20.51%)
[2024-06-21 17:25:50] CPU: 0.62%, DB: 93.00(93.00%), Memory: 1633.1MB(20.48%)
[2024-06-21 17:25:51] CPU: 0.62%, DB: 35.00(35.00%), Memory: 1634.4MB(20.50%)
[2024-06-21 17:25:52] CPU: 0.56%, DB: 86.00(86.00%), Memory: 1637.1MB(20.53%)
[2024-06-21 17:25:53] CPU: 0.62%, DB: 92.00(92.00%), Memory: 1637.9MB(20.54%)
[2024-06-21 17:25:54] CPU: 0.50%, DB: 49.00(49.00%), Memory: 1637.1MB(20.53%)
[2024-06-21 17:25:55] CPU: 0.44%, DB: 21.00(21.00%), Memory: 1636.4MB(20.52%)
[2024-06-21 17:25:56] CPU: 1.10%, DB: 62.00(62.00%), Memory: 1635.8MB(20.52%)
[2024-06-21 17:25:57] CPU: 1.00%, DB: 27.00(27.00%), Memory: 1636.3MB(20.52%)
[2024-06-21 17:25:58] CPU: 0.31%, DB: 90.00(90.00%), Memory: 1634.6MB(20.50%)
[2024-06-21 17:25:59] CPU: 0.50%, DB: 59.00(59.00%), Memory: 1635.8MB(20.52%)
[2024-06-21 17:26:00] CPU: 0.56%, DB: 63.00(63.00%), Memory: 1635.0MB(20.51%)
[2024-06-21 17:26:01] CPU: 0.80%, DB: 26.00(26.00%), Memory: 1637.0MB(20.53%)
[2024-06-21 17:26:02] CPU: 0.81%, DB: 40.00(40.00%), Memory: 1634.9MB(20.50%)
[2024-06-21 17:26:03] CPU: 0.87%, DB: 26.00(26.00%), Memory: 1635.1MB(20.51%)
[2024-06-21 17:26:04] CPU: 0.69%, DB: 72.00(72.00%), Memory: 1634.9MB(20.50%)
[2024-06-21 17:26:05] CPU: 0.56%, DB: 36.00(36.00%), Memory: 1634.6MB(20.50%)
[2024-06-21 17:26:06] CPU: 0.98%, DB: 11.00(11.00%), Memory: 1634.1MB(20.49%)
[2024-06-21 17:26:07] CPU: 0.75%, DB: 68.00(68.00%), Memory: 1634.4MB(20.50%)
[2024-06-21 17:26:08] CPU: 0.62%, DB: 67.00(67.00%), Memory: 1634.1MB(20.49%)
[2024-06-21 17:26:09] CPU: 0.62%, DB: 29.00(29.00%), Memory: 1633.7MB(20.49%)
[2024-06-21 17:26:10] CPU: 0.56%, DB: 82.00(82.00%), Memory: 1635.0MB(20.51%)
[2024-06-21 17:26:11] CPU: 0.37%, DB: 30.00(30.00%), Memory: 1633.7MB(20.49%)
[2024-06-21 17:26:12] CPU: 0.69%, DB: 62.00(62.00%), Memory: 1636.2MB(20.52%)
[2024-06-21 17:26:13] CPU: 0.38%, DB: 23.00(23.00%), Memory: 1636.2MB(20.52%)
[2024-06-21 17:26:14] CPU: 0.81%, DB: 67.00(67.00%), Memory: 1637.5MB(20.54%)
[2024-06-21 17:26:15] CPU: 0.81%, DB: 35.00(35.00%), Memory: 1636.5MB(20.52%)
[2024-06-21 17:26:16] CPU: 0.74%, DB: 29.00(29.00%), Memory: 1636.2MB(20.52%)
[2024-06-21 17:26:17] CPU: 0.75%, DB: 2.00(2.00%), Memory: 1634.8MB(20.50%)
[2024-06-21 17:26:18] CPU: 0.56%, DB: 22.00(22.00%), Memory: 1634.8MB(20.50%)
[2024-06-21 17:26:19] CPU: 0.44%, DB: 58.00(58.00%), Memory: 1635.6MB(20.51%)
[2024-06-21 17:26:20] CPU: 0.44%, DB: 69.00(69.00%), Memory: 1635.5MB(20.51%)
[2024-06-21 17:26:21] CPU: 0.73%, DB: 67.00(67.00%), Memory: 1637.6MB(20.54%)
[2024-06-21 17:26:22] CPU: 0.69%, DB: 93.00(93.00%), Memory: 1635.6MB(20.51%)
[2024-06-21 17:26:23] CPU: 0.50%, DB: 56.00(56.00%), Memory: 1635.3MB(20.51%)
[2024-06-21 17:26:24] CPU: 0.62%, DB: 11.00(11.00%), Memory: 1634.3MB(20.50%)
[2024-06-21 17:26:25] CPU: 0.75%, DB: 42.00(42.00%), Memory: 1632.2MB(20.47%)
[2024-06-21 17:26:26] CPU: 0.92%, DB: 29.00(29.00%), Memory: 1632.4MB(20.47%)
[2024-06-21 17:26:27] CPU: 0.50%, DB: 73.00(73.00%), Memory: 1631.4MB(20.46%)
[2024-06-21 17:26:28] CPU: 0.38%, DB: 21.00(21.00%), Memory: 1631.9MB(20.47%)
[2024-06-21 17:26:29] CPU: 0.75%, DB: 19.00(19.00%), Memory: 1633.4MB(20.49%)
[2024-06-21 17:26:30] CPU: 0.56%, DB: 84.00(84.00%), Memory: 1632.6MB(20.48%)
[2024-06-21 17:26:31] CPU: 0.74%, DB: 37.00(37.00%), Memory: 1633.4MB(20.49%)
[2024-06-21 17:26:32] CPU: 0.63%, DB: 98.00(98.00%), Memory: 1633.1MB(20.48%)
[2024-06-21 17:26:33] CPU: 0.44%, DB: 24.00(24.00%), Memory: 1635.1MB(20.51%)
[2024-06-21 17:26:34] CPU: 0.50%, DB: 15.00(15.00%), Memory: 1635.9MB(20.52%)
[2024-06-21 17:26:35] CPU: 0.44%, DB: 70.00(70.00%), Memory: 1635.4MB(20.51%)
[2024-06-21 17:26:36] CPU: 0.68%, DB: 13.00(13.00%), Memory: 1637.6MB(20.54%)
[2024-06-21 17:26:37] CPU: 0.31%, DB: 26.00(26.00%), Memory: 1636.6MB(20.53%)
[2024-06-21 17:26:38] CPU: 0.44%, DB: 91.00(91.00%), Memory: 1635.3MB(20.51%)
[2024-06-21 17:26:39] CPU: 0.69%, DB: 80.00(80.00%), Memory: 1635.3MB(20.51%)
[2024-06-21 17:26:40] CPU: 0.56%, DB: 56.00(56.00%), Memory: 1635.8MB(20.52%)
[2024-06-21 17:26:41] CPU: 0.86%, DB: 73.00(73.00%), Memory: 1637.3MB(20.53%)
[2024-06-21 17:26:42] CPU: 0.75%, DB: 62.00(62.00%), Memory: 1637.0MB(20.53%)
[2024-06-21 17:26:43] CPU: 0.75%, DB: 70.00(70.00%), Memory: 1635.7MB(20.51%)
[2024-06-21 17:26:44] CPU: 1.18%, DB: 96.00(96.00%), Memory: 1635.7MB(20.51%)
